Exoskeleton_Left_Thigh (Input),Exoskeleton_Right_Thigh (Input),Exoskeleton_Left_Thigh (Feedback),Exoskeleton_Right_Thigh (Feedback),Joint_Error (Left_Thigh),Joint_Error (Right_Thigh)
-13,-13,-5.87219,-6.83804
-14,-14,-7.16858,-8.17287
-15,-15,-8.84399,-9.9197
-16,-16,-10.827,-11.7874
-17,-17,-12.7112,-13.5562
-18,-18,-14.2053,-14.9295
-19,-19,-15.26,-15.8688
-20,-20,-15.9576,-16.3906
-21,-21,-16.4795,-16.7422
-22,-22,-16.9904,-17.3959
-23,-23,-17.8088,-18.2803
-24,-24,-18.858,-19.4833
-25,-25,-20.0995,-20.9335
-26,-26,-21.3794,-22.5155
-27,-27,-22.5714,-23.8614
-28,-28,-23.6261,-24.9325
-29,-29,-24.4556,-25.8059
-30,-30,-25.2191,-26.4212
-31,-31,-25.9442,-26.9375
-32,-32,-26.8835,-27.6736
-33,-33,-27.8943,-28.5635
-34,-34,-29.2017,-29.8324
-35,-35,-30.5365,-31.2277
-36,-36,-31.712,-32.5076
-35,-35,-32.5964,-33.2492
-34,-34,-32.9974,-33.6337
-33,-33,-32.937,-33.9358
-32,-32,-32.2943,-33.4524
-31,-31,-30.9979,-32.0022
-30,-30,-30.0092,-30.953
-29,-29,-28.927,-29.8104
-28,-28,-27.8448,-28.6843
-27,-27,-26.7737,-27.6626
-26,-26,-25.9552,-26.8771
-25,-25,-25.2356,-26.163
-24,-24,-24.6204,-25.5697
-23,-23,-23.7964,-24.8117
-22,-22,-22.7527,-23.757
-21,-21,-21.6376,-22.6474
-20,-20,-20.462,-21.4773
-19,-19,-19.6655,-20.6314
-18,-18,-18.9514,-19.9063
-17,-17,-18.2922,-19.2196
-16,-16,-17.5397,-18.5495
-15,-15,-16.6553,-17.6321
-14,-14,-15.6665,-16.6928
-13,-13,-14.5789,-15.6381
-12,-12,-13.5626,-14.6164
-11,-11,-12.6562,-13.7924
-10,-10,-11.8268,-12.864
-9,-9,-10.9918,-11.9906
-8,-8,-10.3491,-11.3699
-7,-7,-9.67896,-10.6887
-6,-6,-9.00879,-10.0186
-5,-5,-8.22327,-9.20559
-4,-4,-7.31689,-8.27175
-3,-3,-6.24023,-7.04678
-2,-2,-4.96582,-5.67898
-1,-1,-3.87817,-4.38259
0,0,-2.80151,-3.37185
1,1,-1.89514,-2.5259
2,2,-1.08215,-1.83376
3,3,-0.609741,-1.41079
4,4,-0.318604,-1.30093
5,5,-0.32959,-1.11965
6,6,-0.450439,-0.669212
7,7,-0.532837,-0.0374985
8,8,-0.455933,0.731544
9,9,0.516357,1.83018
10,10,1.81274,3.26939
11,11,3.19702,4.53281
12,12,4.47693,5.7468
13,13,5.53162,6.72459
14,14,6.33362,7.42771
15,15,7.20154,7.999
16,16,8.04749,8.14732
17,17,8.81104,8.55381
18,18,9.3219,9.39976
19,19,10.047,10.3226
20,20,11.239,11.3114
21,21,12.1069,12.1903
20,20,12.7606,12.7451
19,19,12.9968,12.9044
18,18,12.5958,12.6792
17,17,11.5027,11.6465
16,16,9.78882,9.99302
15,15,8.45947,8.7241
14,14,7.27295,7.51011
13,13,6.22375,6.42796
12,12,5.53711,5.66441
11,11,4.87793,5.1096
10,10,4.23523,4.53281
9,9,3.58154,3.87913
8,8,2.82349,3.09361
7,7,2.28516,2.46738
6,6,2.03796,2.26963
5,5,2.0874,2.48386
4,4,2.21375,3.12107
3,3,2.10938,3.60996
2,2,1.89514,3.05515
1,1,1.65894,2.08286
0,0,1.64795,1.03367
-1,-1,0.961304,0.242653
-2,-2,-0.0604248,-0.350609
-3,-3,-0.692139,-1.04824
-4,-4,-1.56006,-1.97109
-5,-5,-2.5708,-2.78957
-6,-6,-3.60901,-3.83877
-7,-7,-4.35608,-4.71767
-8,-8,-4.98779,-5.54165
-9,-9,-5.69092,-6.35464
-10,-10,-6.54236,-7.1841
-11,-11,-7.61353,-8.28274
-12,-12,-8.67371,-9.25503
-13,-13,-9.71191,-10.2603
-14,-14,-10.5634,-11.1502
-15,-15,-11.3379,-12.1444
-16,-16,-12.1014,-12.9959
-17,-17,-12.8705,-13.8308
-18,-18,-13.5242,-14.5449
-19,-19,-14.3427,-15.3854
-20,-20,-15.3204,-16.3192
-21,-21,-16.4301,-17.3025
-22,-22,-17.5177,-18.3957
-23,-23,-18.6548,-19.4448
-24,-24,-19.6271,-20.3183
-25,-25,-20.4895,-21.2246
-26,-26,-21.2531,-22.098
-27,-27,-22.1265,-22.9934
-28,-28,-23.0878,-23.9492
-29,-29,-24.137,-25.0534
-30,-30,-25.285,-26.185
-31,-31,-26.4496,-27.2836
-32,-32,-27.5647,-28.2888
-33,-33,-28.4326,-29.2062
-34,-34,-29.2236,-29.9807
-35,-35,-29.8828,-30.6509
-36,-36,-30.4926,-31.365
-35,-35,-30.6464,-31.6067
-34,-34,-30.3882,-31.387
-33,-33,-29.4049,-30.4806
-32,-32,-27.4658,-28.591
-31,-31,-25.1422,-26.2454
-30,-30,-23.6975,-24.8172
-29,-29,-22.6978,-23.8229
-28,-28,-22.077,-23.0978
-27,-27,-21.7474,-22.6913
-26,-26,-21.7145,-22.5265
-25,-25,-21.7474,-22.4606
-24,-24,-21.9397,-22.5924
-23,-23,-22.0276,-22.7462
-22,-22,-22.0441,-22.8506
-21,-21,-21.8243,-22.7737
-20,-20,-21.2201,-22.3947
-19,-19,-20.2423,-21.5322
-18,-18,-18.8745,-20.2853
-17,-17,-17.3419,-18.6319
-16,-16,-15.7159,-17.0224
-15,-15,-14.2163,-15.5886
-14,-14,-12.9364,-14.0725
-13,-13,-12.1619,-13.3145
-12,-12,-11.8762,-13.0343
-11,-11,-11.7444,-12.8915
-10,-10,-11.6345,-12.908
-9,-9,-11.3654,-12.6718
-8,-8,-11.0577,-12.073
-7,-7,-10.426,-11.4907
-6,-6,-9.57458,-10.6228
-5,-5,-8.48694,-9.36489
-4,-4,-7.24548,-8.06301
-3,-3,-5.97107,-6.90395
-2,-2,-5.00427,-6.01955
-1,-1,-4.33411,-5.11318
0,0,-3.63098,-4.25076
1,1,-2.82898,-3.39382
2,2,-1.82922,-2.42702
3,3,-0.76355,-1.24599
4,4,0.263672,-0.114403
5,5,1.17554,0.819435
6,6,1.99951,1.572
7,7,2.74658,2.38499
8,8,3.10913,3.13206
9,9,3.05969,3.89561
10,10,3.20801,4.57676
11,11,3.57056,5.45017
12,12,4.54285,6.12583
13,13,5.43823,6.50486
14,14,6.05347,6.80149
15,15,6.45996,7.20249
16,16,6.73462,7.41673
17,17,7.22351,7.24644
18,18,7.70691,7.71885
19,19,8.3551,8.86692
20,20,9.42078,10.0589
21,21,10.8655,11.4597
20,20,12.6727,13.1626
19,19,14.3646,14.6238
18,18,15.3424,15.4148
17,17,14.9908,14.9753
16,16,13.5956,13.5361
15,15,12.2168,12.2507
14,14,10.5798,10.6302
13,13,8.95935,8.91636
12,12,7.61353,7.63645
11,11,6.52039,6.77402
10,10,6.01501,6.27964
9,9,5.80627,6.12583
8,8,5.7074,6.12034
7,7,5.51514,6.00498
6,6,4.94385,5.84568
5,5,3.78479,5.38975
4,4,2.74109,4.40098
3,3,1.72485,3.07163
2,2,0.791016,2.04441
1,1,-0.0933838,1.18748
0,0,-0.812988,0.456886
-1,-1,-1.27441,-0.1968
-2,-2,-1.38977,-0.861473
-3,-3,-1.23596,-1.60854
-4,-4,-1.52161,-2.30618
-5,-5,-2.23022,-2.82803
-6,-6,-3.10364,-3.72341
-7,-7,-4.13086,-4.80007
-8,-8,-5.24597,-5.9042
-9,-9,-6.33911,-6.9479
