Exoskeleton_Left_Thigh (Ang),Exoskeleton_Left_Thigh (Vel),Exoskeleton_Left_Thigh (Acc),Exoskeleton_Left_Calf (Ang),Exoskeleton_Left_Calf (Vel),Exoskeleton_Left_Calf (Acc),Exoskeleton_Right_Thigh (Ang),Exoskeleton_Right_Thigh (Vel),Exoskeleton_Right_Thigh (Acc),Exoskeleton_Right_Calf (Ang),Exoskeleton_Right_Calf (Vel),Exoskeleton_Right_Calf (Acc),Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Force_Left_Thigh,Force_Left_Calf,Force_Right_Thigh,Force_Right_Calf,Angle_Driver_LT (Output),Angle_Driver_LC (Output),Angle_Driver_RT (Output),Angle_Driver_RC (Output)
-2.83447,3.41797,0.128906,1.19751,-0.305176,0.0151367,-1.18652,2.74658,0.034668,-0.494385,2.31934,-0.0424805,0.812988,5.49316,-0.148926,3.1311,-0.488281,0.0625,2.52686,1.70898,-0.03125,-1.31836,1.83105,-0.598145,-231,1,-81,1,1.46834,2.73421,2.32264,0
-2.83447,3.41797,0.128906,1.19751,-0.305176,0.0151367,-1.18652,2.74658,0.034668,-0.494385,2.31934,-0.0424805,0.812988,5.49316,-0.148926,3.1311,-0.488281,0.0625,2.52686,1.70898,-0.03125,-1.31836,1.83105,-0.598145,-231,1,-81,1,1.46786,2.73421,2.32264,0
-2.67517,3.96729,0.114258,1.18652,-0.0610352,-0.000976562,-1.09863,2.44141,0.0336914,-0.401001,1.95312,-0.0415039,0.933838,5.18799,-0.160156,3.1311,-0.488281,0.0625,2.54333,1.83105,-0.0268555,-1.31287,1.83105,-0.599609,-237,-1,-81,-1,1.6012,2.74933,2.19559,0
-2.60376,4.39453,0.123535,1.18103,0,0.00585938,-1.02722,2.01416,0.0361328,-0.346069,1.83105,-0.0429688,1.03821,4.57764,-0.16748,3.1311,-0.488281,0.0625,2.58179,2.31934,-0.0351562,-1.29639,2.01416,-0.601074,-239,0,-79,1,1.7044,2.78139,2.09334,0
-2.56531,4.5166,0.121582,1.18103,0.0610352,0.00537109,-1.01074,1.95312,0.0336914,-0.324097,1.89209,-0.043457,1.08215,4.5166,-0.152344,3.1311,-0.488281,0.0625,2.60925,3.17383,-0.0395508,-1.2854,2.19727,-0.603027,-228,-1,-82,-2,1.71677,2.82151,2.04621,0
-2.56531,4.5166,0.121582,1.18103,0.0610352,0.00537109,-1.01074,1.95312,0.0336914,-0.324097,1.89209,-0.043457,1.08215,4.5166,-0.152344,3.1311,-0.488281,0.0625,2.60925,3.17383,-0.0395508,-1.2854,2.19727,-0.603027,-228,-1,-82,-2,1.71677,2.82151,2.04621,0
-2.56531,4.5166,0.121582,1.18103,0.0610352,0.00537109,-1.01074,1.95312,0.0336914,-0.324097,1.89209,-0.043457,1.11511,4.57764,-0.143066,3.1311,-0.488281,0.0625,2.64771,3.54004,-0.0415039,-1.27441,2.19727,-0.600586,-236,-1,-78,1,1.77352,2.85049,2.01325,0
-2.56531,4.5166,0.121582,1.18103,0.0610352,0.00537109,-1.01074,1.95312,0.0336914,-0.324097,1.89209,-0.043457,1.15356,4.69971,-0.143066,3.1311,-0.488281,0.0625,2.64771,3.72314,-0.0361328,-1.27441,2.19727,-0.600586,-236,-1,-78,1,1.81268,2.85185,1.9748,0
-2.56531,4.5166,0.121582,1.18103,0.0610352,0.00537109,-1.01074,1.95312,0.0336914,-0.324097,1.89209,-0.043457,1.15356,4.69971,-0.143066,3.1311,-0.488281,0.0625,2.68616,3.72314,-0.0361328,-1.25793,2.19727,-0.600586,-236,-1,-78,1,1.81268,2.89603,1.9748,0
-2.56531,4.5166,0.121582,1.18103,0.0610352,0.00537109,-1.01074,1.95312,0.0336914,-0.324097,1.89209,-0.043457,1.15356,4.69971,-0.143066,3.1311,-0.488281,0.0625,2.68616,3.72314,-0.0361328,-1.25793,2.19727,-0.600586,-236,-1,-80,-1,1.81226,2.89603,1.9748,0
-2.48291,4.82178,0.128906,1.18103,0.366211,0.0112305,-0.994263,2.01416,0.0366211,-0.307617,1.89209,-0.0385742,1.15356,4.69971,-0.150391,3.1311,-0.488281,0.0625,2.68616,3.72314,-0.0361328,-1.25793,2.19727,-0.593262,-236,-1,-80,-1,1.81226,2.89471,1.9748,0
-2.43896,5.24902,0.126465,1.18652,0.366211,0.00341797,-0.961304,2.13623,0.0449219,-0.274658,2.0752,-0.034668,1.15356,4.69971,-0.150391,3.1311,-0.488281,0.0625,2.71912,3.35693,-0.0224609,-1.25793,2.19727,-0.593262,-233,1,-79,-1,1.80149,2.92264,1.97845,0
-2.43896,5.24902,0.126465,1.18652,0.366211,0.00341797,-0.961304,2.13623,0.0449219,-0.274658,2.0752,-0.034668,1.19202,4.5166,-0.149902,3.1311,-0.488281,0.0625,2.71912,3.35693,-0.0224609,-1.23047,2.01416,-0.588379,-233,1,-79,-1,1.83662,2.92033,1.94044,0
-2.43896,5.24902,0.126465,1.18652,0.366211,0.00341797,-0.961304,2.13623,0.0449219,-0.274658,2.0752,-0.034668,1.19202,4.5166,-0.149902,3.1311,-0.488281,0.0625,2.71912,3.35693,-0.0136719,-1.23047,2.01416,-0.588379,-233,1,-79,-1,1.83662,2.92083,1.94044,0
-2.43896,5.24902,0.126465,1.18652,0.366211,0.00341797,-0.961304,2.13623,0.0449219,-0.274658,2.0752,-0.034668,1.23047,4.15039,-0.149902,3.1311,-0.488281,0.0625,2.74658,2.99072,-0.0136719,-1.23047,2.01416,-0.588379,-233,1,-79,-1,1.87297,2.9462,1.90199,0
-2.43896,5.24902,0.126465,1.18652,0.366211,0.00341797,-0.961304,2.13623,0.0449219,-0.274658,2.0752,-0.034668,1.23047,4.15039,-0.149902,3.1311,-0.488281,0.0625,2.74658,2.99072,-0.0136719,-1.23047,2.01416,-0.588379,-233,1,-79,-1,1.87297,2.9462,1.90199,0
