Exoskeleton_Left_Thigh (Ang),Exoskeleton_Left_Thigh (Vel),Exoskeleton_Left_Thigh (Acc),Exoskeleton_Left_Calf (Ang),Exoskeleton_Left_Calf (Vel),Exoskeleton_Left_Calf (Acc),Exoskeleton_Right_Thigh (Ang),Exoskeleton_Right_Thigh (Vel),Exoskeleton_Right_Thigh (Acc),Exoskeleton_Right_Calf (Ang),Exoskeleton_Right_Calf (Vel),Exoskeleton_Right_Calf (Acc),Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Force_Left_Thigh,Force_Left_Calf,Force_Right_Thigh,Force_Right_Calf,Angle_Driver_LT (Output),Angle_Driver_LC (Output),Angle_Driver_RT (Output),Angle_Driver_RC (Output)
9.59106,-3.96729,0.193359,8.88794,-5.00488,0.117676,5.72937,1.34277,0.0512695,5.85022,1.0376,-0.0341797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8627,8.62299,0.0227169,0
9.59106,-3.96729,0.193359,8.88794,-5.00488,0.117676,5.72937,1.34277,0.0512695,5.85022,1.0376,-0.0341797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8627,8.62299,0.0227169,0
9.59106,-3.96729,0.193359,8.88794,-5.00488,0.117676,5.72937,1.34277,0.0512695,5.85022,1.0376,-0.0341797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8739,8.77078,0.0227169,0
9.59106,-3.96729,0.193359,8.88794,-5.00488,0.117676,5.72937,1.34277,0.0512695,5.85022,1.0376,-0.0341797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.819,8.77078,0.0227169,0
9.48669,-4.02832,0.185547,8.83301,-5.00488,0.109375,5.74585,1.40381,0.0478516,5.87219,1.09863,-0.0380859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7205,8.68021,0.00600375,0
9.37683,-3.78418,0.1875,8.72864,-4.57764,0.110352,5.75134,1.52588,0.0478516,5.88867,1.2207,-0.0419922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6564,8.74841,0.0378773,0.00269693
9.37683,-3.78418,0.1875,8.72864,-4.57764,0.110352,5.75134,1.52588,0.0478516,5.88867,1.2207,-0.0419922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6555,8.74757,0.0378773,0.00269693
9.3219,-3.54004,0.19043,8.62976,-4.27246,0.113281,5.77332,1.70898,0.0561523,5.91064,1.34277,-0.0253906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47499,8.73135,0.0359609,0
9.27246,-3.41797,0.19043,8.62976,-4.27246,0.113281,5.7843,1.70898,0.0561523,5.92712,1.34277,-0.0253906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47423,8.73059,0.0359609,0
9.27246,-3.23486,0.192871,8.58582,-4.02832,0.112793,5.7843,1.70898,0.0561523,5.92712,1.34277,-0.0253906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41381,8.73113,0.0359609,0
9.22852,-3.23486,0.192871,8.58582,-4.02832,0.111328,5.80078,1.70898,0.0620117,5.93811,1.28174,-0.0239258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60833,8.77051,0,0.0054666
9.19006,-3.11279,0.195312,8.54736,-3.84521,0.121094,5.82275,1.70898,0.0620117,5.95459,1.2207,-0.0288086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56995,8.72817,0,0
9.1626,-3.11279,0.20752,8.50891,-3.90625,0.126465,5.83923,1.58691,0.0581055,5.96558,1.15967,-0.0332031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79098,8.84779,0.0159186,0
9.1626,-3.11279,0.208984,8.46497,-3.90625,0.126465,5.85571,1.40381,0.0517578,5.98206,0.976562,-0.0336914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79098,8.85035,0.0159186,0
9.12964,-3.11279,0.208984,8.42102,-3.96729,0.128906,5.85571,1.40381,0.0517578,5.98206,0.976562,-0.0336914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64663,8.8357,0,0
9.07471,-3.479,0.202637,8.38806,-4.08936,0.126465,5.89417,0.915527,0.0581055,5.99304,0.549316,-0.0244141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46061,8.74394,0.0169677,0
9.07471,-3.479,0.202637,8.34412,-4.21143,0.128906,5.89417,0.915527,0.0581055,6.00403,0.549316,-0.0244141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41667,8.74394,0.0175272,0
9.07471,-3.479,0.208984,8.34412,-4.21143,0.128906,5.89417,0.915527,0.0581055,6.00403,0.549316,-0.0244141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4163,8.74358,0.0175272,0
9.07471,-3.479,0.208984,8.34412,-4.21143,0.128906,5.89417,0.915527,0.0581055,6.00403,0.549316,-0.0244141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4163,8.74358,0.0175272,0
9.07471,-3.479,0.208984,8.34412,-4.21143,0.126953,5.89417,0.732422,0.0610352,6.00403,0.549316,-0.0205078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36667,8.76852,0.0176392,0
9.0033,-3.54004,0.209961,8.26172,-4.27246,0.120117,5.92163,0.549316,0.0664062,6.02051,0.12207,-0.0214844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19872,8.82852,0.0011918,0
8.96484,-3.60107,0.202148,8.26172,-4.27246,0.113281,5.93262,0.305176,0.0688477,6.02051,-0.12207,-0.0234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1988,8.91057,0,0
8.96484,-3.60107,0.202148,8.26172,-4.27246,0.113281,5.93262,0.305176,0.0688477,6.02051,-0.12207,-0.0234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1996,8.91137,0,0
8.96484,-3.60107,0.199219,8.21777,-4.21143,0.113281,5.93811,0.183105,0.0683594,6.02051,-0.244141,-0.0185547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15037,8.9885,0.0528,0
8.9209,-3.60107,0.199219,8.17383,-4.15039,0.116211,5.93811,0.183105,0.0683594,6.026,-0.244141,-0.0185547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07896,8.9885,0.0522824,0
8.9209,-3.60107,0.199219,8.17383,-4.15039,0.116211,5.93811,0.183105,0.0683594,6.026,-0.244141,-0.0185547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07896,8.98191,0.0522824,0
8.9209,-3.60107,0.199219,8.17383,-4.15039,0.116211,5.93811,0.183105,0.0683594,6.026,-0.244141,-0.0185547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07896,8.99839,0.0522824,0
8.9209,-3.60107,0.199219,8.17383,-4.15039,0.116211,5.93811,0.183105,0.0683594,6.026,-0.244141,-0.0185547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07896,8.99839,0.0522824,0
8.9209,-3.60107,0.199219,8.17383,-4.15039,0.116211,5.93811,0.183105,0.0683594,6.026,-0.244141,-0.0185547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07276,8.99839,0.0522824,0
8.9209,-3.60107,0.199219,8.17383,-4.15039,0.116211,5.93811,0.183105,0.0683594,6.026,-0.244141,-0.0185547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05557,8.99839,0.000716196,0
8.80554,-3.60107,0.202637,8.08594,-4.21143,0.118652,5.96008,-0.793457,0.0449219,6.026,-1.15967,-0.0336914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85727,9.01937,0.0181148,0
8.80554,-3.60107,0.202637,8.08594,-4.21143,0.118652,5.96008,-0.793457,0.0449219,6.026,-1.15967,-0.0336914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85727,9.01937,0.0181148,0
8.80554,-3.60107,0.202637,8.08594,-4.21143,0.117188,5.96008,-0.793457,0.0449219,6.026,-1.15967,-0.0336914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7474,9.01937,0.0181148,0
8.80554,-3.60107,0.202637,8.08594,-4.21143,0.117188,5.96008,-0.793457,0.0449219,6.026,-1.15967,-0.0336914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7474,9.01937,0.0181987,0
8.80554,-3.60107,0.202637,8.04749,-4.21143,0.117188,5.96008,-0.793457,0.0449219,6.026,-1.15967,-0.0336914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7474,9.01937,0.0181987,0
8.80554,-3.60107,0.202637,8.04749,-4.21143,0.117188,5.96008,-0.793457,0.0449219,6.026,-1.15967,-0.0336914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7474,8.95061,0.0525762,0
8.66272,-3.35693,0.1875,7.91016,-3.78418,0.100098,5.9436,-1.70898,0.0571289,5.98206,-2.01416,-0.0229492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37566,8.93254,0,0
8.66272,-3.23486,0.185547,7.91016,-3.78418,0.100098,5.9436,-1.89209,0.0571289,5.98206,-2.01416,-0.027832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37131,8.98856,0.0339187,0
8.66272,-3.23486,0.185547,7.91016,-3.78418,0.100098,5.9436,-1.89209,0.0571289,5.98206,-2.01416,-0.027832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23398,8.98856,0.0339187,0
8.66272,-3.23486,0.185547,7.91016,-3.78418,0.100098,5.9436,-1.89209,0.0571289,5.98206,-2.01416,-0.027832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23398,8.98856,0.0339187,0
8.66272,-3.23486,0.185547,7.91016,-3.78418,0.100098,5.9436,-1.89209,0.0571289,5.98206,-2.01416,-0.027832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23398,8.98856,0.0339187,0
8.66272,-3.23486,0.185547,7.91016,-3.78418,0.100098,5.9436,-1.89209,0.0571289,5.98206,-2.01416,-0.027832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23398,8.98856,0.0339187,0
8.66272,-3.23486,0.185547,7.91016,-3.78418,0.100098,5.9436,-1.89209,0.0571289,5.98206,-2.01416,-0.027832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23398,8.98859,0.0339187,0
8.66272,-3.23486,0.185547,7.91016,-3.78418,0.100098,5.9436,-1.89209,0.0571289,5.98206,-2.01416,-0.027832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23398,8.98859,0.0339187,0
8.66272,-3.23486,0.185547,7.91016,-3.78418,0.100098,5.9436,-1.89209,0.0571289,5.98206,-2.01416,-0.027832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23398,8.98859,0.0339187,0
8.66272,-3.23486,0.185547,7.91016,-3.78418,0.100098,5.9436,-1.89209,0.0571289,5.98206,-2.01416,-0.027832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23398,8.98859,0.0339187,0
8.66272,-3.23486,0.185547,7.91016,-3.78418,0.100098,5.9436,-1.89209,0.0571289,5.98206,-2.01416,-0.027832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23398,8.9851,0.0339187,0
8.66272,-3.23486,0.185547,7.91016,-3.78418,0.100098,5.9436,-1.89209,0.0571289,5.98206,-2.01416,-0.027832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23398,8.9851,0.0339187,0
8.66272,-3.23486,0.185547,7.91016,-3.78418,0.100098,5.9436,-1.89209,0.0571289,5.98206,-2.01416,-0.027832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23398,8.9851,0.0339187,0
8.61877,-3.23486,0.186035,7.86072,-3.72314,0.0966797,5.92712,-1.89209,0.0571289,5.96008,-2.13623,-0.027832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23395,8.97408,0.0337648,0
8.53638,-3.17383,0.182617,7.81677,-3.78418,0.0810547,5.89417,-2.19727,0.0639648,5.92163,-2.44141,-0.0258789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93346,8.96655,0.017821,0
8.53638,-3.17383,0.182617,7.81677,-3.78418,0.0810547,5.89417,-2.19727,0.0639648,5.92163,-2.44141,-0.0258789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93346,8.96106,0.017821,0
8.53638,-3.17383,0.182617,7.81677,-3.78418,0.0810547,5.89417,-2.19727,0.0639648,5.92163,-2.44141,-0.0258789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75219,8.96106,0.017821,0
8.47046,-3.60107,0.177734,7.70691,-4.21143,0.0849609,5.85022,-2.62451,0.0698242,5.87219,-2.80762,-0.0200195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52176,8.88135,0.0200451,0
8.47046,-3.60107,0.177734,7.70691,-4.21143,0.0849609,5.85022,-2.62451,0.0698242,5.87219,-2.80762,-0.0200195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52176,8.88124,0.0200451,0
8.47046,-3.60107,0.177734,7.70691,-4.21143,0.0849609,5.85022,-2.62451,0.0698242,5.87219,-2.80762,-0.0200195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25159,8.96273,0.0200451,0
8.47046,-3.60107,0.177734,7.70691,-4.21143,0.0849609,5.85022,-2.62451,0.0698242,5.87219,-2.80762,-0.0200195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25159,8.96273,0.0200451,0
8.47046,-3.60107,0.177734,7.70691,-4.21143,0.0849609,5.85022,-2.62451,0.0698242,5.87219,-2.80762,-0.0200195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25159,8.96273,0.0200451,0
8.47046,-3.60107,0.177734,7.70691,-4.21143,0.0849609,5.85022,-2.62451,0.0698242,5.87219,-2.80762,-0.0200195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25159,8.9572,0.0200451,0
8.47046,-3.60107,0.177734,7.70691,-4.21143,0.0849609,5.85022,-2.62451,0.0698242,5.87219,-2.80762,-0.0200195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25159,8.94551,0.0200451,0
8.47046,-3.60107,0.177734,7.70691,-4.21143,0.0849609,5.85022,-2.62451,0.0698242,5.87219,-2.80762,-0.0200195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94231,8.94551,0.0200451,0
8.37708,-3.72314,0.218262,7.67944,-3.96729,0.11377,5.73486,-3.05176,0.0668945,5.75134,-3.17383,-0.0214844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58839,8.98558,0.0349678,0
8.37708,-3.72314,0.218262,7.67944,-3.96729,0.11377,5.73486,-3.05176,0.0668945,5.75134,-3.17383,-0.0214844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59901,8.88865,0.0169957,0
8.37708,-3.72314,0.218262,7.67944,-3.96729,0.11377,5.73486,-3.05176,0.0668945,5.75134,-3.17383,-0.0214844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27492,8.88665,0.0169957,0
8.34412,-3.84521,0.220215,7.73438,-4.08936,0.109375,5.67993,-3.11279,0.0688477,5.71838,-3.2959,-0.0195312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97636,8.86554,0.0578175,0
8.34412,-3.84521,0.220215,7.78931,-4.21143,0.13916,5.67993,-3.11279,0.0654297,5.68542,-3.479,-0.0219727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68228,8.89553,0.324557,0
8.33862,-3.78418,0.223633,7.78931,-4.21143,0.164551,5.67993,-3.23486,0.0654297,5.65796,-3.479,-0.0219727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69887,8.70591,0.305913,0
8.33862,-3.78418,0.223633,7.78931,-4.21143,0.164551,5.67993,-3.23486,0.0654297,5.65796,-3.479,-0.0219727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43519,8.70591,0.569585,0
8.33862,-3.479,0.224609,7.85522,-3.96729,0.17627,5.64697,-3.41797,0.0629883,5.61951,-3.54004,-0.0166016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21279,8.7552,0.810633,0
8.33862,-3.479,0.224609,7.85522,-3.96729,0.17627,5.64697,-3.41797,0.0629883,5.61951,-3.54004,-0.0166016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21279,8.75579,0.810633,0
8.33862,-3.479,0.224609,7.89917,-3.96729,0.17627,5.61401,-3.41797,0.0629883,5.61951,-3.54004,-0.0166016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25689,8.62169,0.793444,0
8.32764,-2.2583,0.254883,7.92114,-2.44141,0.164062,5.53711,-3.35693,0.0820312,5.5426,-3.54004,-0.0117188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0657,8.60463,1.00275,0
8.32764,-2.2583,0.254883,7.92114,-2.44141,0.164062,5.53711,-3.35693,0.0820312,5.5426,-3.54004,-0.0117188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06096,8.60088,0.999634,0
8.25073,-1.70898,0.210449,7.91565,-1.95312,0.109375,5.41077,-2.92969,0.0844727,5.42175,-3.23486,-0.00634766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99993,8.61299,1.05419,0
8.25073,-1.70898,0.210449,7.91565,-1.95312,0.109375,5.41077,-2.92969,0.0844727,5.42175,-3.23486,-0.00634766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95598,8.61299,1.09814,0
8.25073,-1.70898,0.210449,7.91565,-1.95312,0.109375,5.41077,-2.92969,0.0844727,5.42175,-3.23486,-0.00634766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95598,8.61299,1.09814,0
8.25073,-1.70898,0.210449,7.91565,-1.95312,0.109375,5.41077,-2.92969,0.0844727,5.42175,-3.23486,-0.00634766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8994,8.67183,1.15307,0
8.25073,-1.70898,0.210449,7.91565,-1.95312,0.109375,5.41077,-2.92969,0.0844727,5.42175,-3.23486,-0.00634766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8994,8.67183,1.15307,0
8.25073,-1.70898,0.210449,7.91565,-1.95312,0.109375,5.41077,-2.92969,0.0844727,5.42175,-3.23486,-0.00634766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8994,8.67183,1.15307,0
