Exoskeleton_Left_Thigh (Ang),Exoskeleton_Left_Thigh (Vel),Exoskeleton_Left_Thigh (Acc),Exoskeleton_Left_Calf (Ang),Exoskeleton_Left_Calf (Vel),Exoskeleton_Left_Calf (Acc),Exoskeleton_Right_Thigh (Ang),Exoskeleton_Right_Thigh (Vel),Exoskeleton_Right_Thigh (Acc),Exoskeleton_Right_Calf (Ang),Exoskeleton_Right_Calf (Vel),Exoskeleton_Right_Calf (Acc),Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Force_Left_Thigh,Force_Left_Calf,Force_Right_Thigh,Force_Right_Calf,Angle_Driver_LT (Output),Angle_Driver_LC (Output),Angle_Driver_RT (Output),Angle_Driver_RC (Output)
6.2677,-10.0708,0.157227,8.12439,5.00488,0.0522461,-0.0604248,-0.732422,0.0610352,0.494385,-0.549316,-0.0209961,-1.91711,-14.8926,-0.14502,3.1311,-0.488281,0.0625,2.03796,-1.09863,-0.015625,2.09839,0.244141,-0.569824,41,3,-175,-1,-2.2027,3.07068,5.03494,0
6.2677,-10.0708,0.157227,8.14087,5.06592,0.0522461,-0.065918,-0.732422,0.0610352,0.494385,-0.549316,-0.0209961,-2.32361,-16.1743,-0.123535,3.1311,-0.488281,0.0625,2.02698,-1.15967,-0.00830078,2.0929,0.12207,-0.56543,97,10,-193,-2,-2.93616,3.1629,5.48077,0.00793117
6.2677,-10.0708,0.157227,8.14087,5.06592,0.0522461,-0.065918,-0.732422,0.0610352,0.494385,-0.549316,-0.0209961,-2.32361,-16.1743,-0.123535,3.1311,-0.488281,0.0625,2.02148,-1.15967,-0.00830078,2.0929,0.12207,-0.56543,16,7,-178,-1,-2.93616,3.15741,5.48077,0.0134243
5.96558,-12.207,0.152344,8.17383,5.31006,0.0737305,-0.0823975,-0.854492,0.0629883,0.483398,-0.732422,-0.0180664,-2.52686,-15.625,-0.121582,3.1311,-0.488281,0.0625,2.02148,-1.34277,-0.00146484,2.0874,-0.183105,-0.561523,55,7,-178,-2,-2.88299,3.08333,5.66566,0.00523144
5.66345,-14.0381,0.163086,8.23425,5.37109,0.0893555,-0.0823975,-0.854492,0.0620117,0.477905,-0.854492,-0.0200195,-3.05969,-14.6484,-0.0874023,3.1311,-0.488281,0.0625,2.02148,-1.0376,-0.027832,2.05994,-1.09863,-0.573242,50,11,-191,1,-3.19946,3.16792,6.04842,0
5.66345,-14.0381,0.163086,8.23425,5.37109,0.0893555,-0.0823975,-0.854492,0.0620117,0.477905,-0.854492,-0.0200195,-3.05969,-14.6484,-0.0874023,3.1311,-0.488281,0.0625,2.02148,-1.0376,-0.027832,2.05994,-1.09863,-0.573242,50,11,-191,1,-3.36975,3.16792,6.21871,0
5.52063,-14.6484,0.174805,8.23425,5.12695,0.101562,-0.0823975,-1.28174,0.0561523,0.472412,-0.915527,-0.0195312,-3.05969,-14.6484,-0.0874023,3.1311,-0.488281,0.0625,2.01599,-1.0376,-0.027832,2.05994,-1.09863,-0.577637,97,10,-186,-1,-3.63621,3.13661,6.21368,0
5.52063,-14.6484,0.174805,8.23425,5.12695,0.101562,-0.0823975,-1.28174,0.0561523,0.472412,-0.915527,-0.0195312,-3.05969,-14.6484,-0.0874023,3.1311,-0.488281,0.0625,2.01599,-1.0376,-0.027832,2.05994,-1.34277,-0.577637,97,10,-186,-1,-3.63621,3.13661,6.21368,0
5.52063,-14.6484,0.174805,8.23425,5.12695,0.101562,-0.0823975,-1.28174,0.0561523,0.472412,-0.915527,-0.0195312,-3.22449,-15.3809,-0.0708008,3.1311,-0.488281,0.0625,2.005,-1.64795,-0.0273438,2.03796,-1.34277,-0.577637,97,10,-186,-1,-3.80425,3.12215,6.37848,0
5.52063,-14.6484,0.174805,8.23425,5.12695,0.101562,-0.0823975,-1.28174,0.0561523,0.472412,-0.915527,-0.0195312,-3.22449,-15.3809,-0.0708008,3.1311,-0.488281,0.0625,2.005,-1.64795,-0.0273438,2.03796,-1.34277,-0.577637,97,10,-186,-1,-3.80425,3.12215,6.37848,0
