Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Left_Plantar_Pressure (1),Left_Plantar_Pressure (2),Left_Plantar_Pressure (3),Right_Plantar_Pressure (1),Right_Plantar_Pressure (2),Right_Plantar_Pressure (3)
-154.94,-55.481,-0.32959,112.742,187.5,0.000976562,131.424,3.2959,0.586914,50.5182,87.4023,-0.90332,7,148,1,4,7,72
-154.94,-55.481,-0.32959,112.742,187.5,0.000976562,131.424,3.2959,0.586914,52.7209,123.047,-0.90332,7,148,1,4,7,72
-155.934,-88.4399,0.0512695,114.763,191.956,0.0830078,131.342,-9.39941,0.227539,52.7209,152.71,-0.816406,112,9,3,5,8,127
-155.934,-116.882,0.311523,114.763,191.956,0.0830078,131.342,-9.39941,0.227539,55.0995,152.71,-0.816406,112,9,3,5,8,127
-157.159,-116.882,0.311523,116.807,190.857,0.0727539,131.342,-9.39941,-0.391113,55.0995,152.71,-0.757812,112,9,3,5,8,127
-159.955,-142.883,0.23877,120.987,192.688,-0.406738,169.162,93.689,-0.0776367,59.1754,129.7,-0.493652,207,8,1,5,8,137
-159.955,-142.883,0.23877,120.987,192.688,-0.406738,169.162,93.689,-0.0776367,60.7959,129.7,-0.493652,207,8,1,5,8,137
-159.955,-151.55,-0.0263672,120.987,192.688,-0.406738,169.162,93.689,-0.0776367,60.7959,129.7,-0.493652,235,8,1,7,8,142
-161.466,-151.55,-0.0263672,120.987,192.688,-0.529785,169.162,65.6738,0.412109,60.7959,129.7,-0.493652,235,8,1,7,8,142
-161.466,-151.55,-0.0263672,120.987,192.688,-0.529785,169.86,65.6738,0.412109,60.7959,116.821,-0.439941,235,8,1,7,8,142
-164.515,-149.597,-0.281738,126.865,161.865,-0.662109,171.431,86.6699,0.207031,63.4821,100.098,-0.483398,5,6,1,4,8,137
-164.515,-149.597,-0.281738,126.865,161.865,-0.662109,171.431,86.6699,0.207031,64.5203,85.9985,-0.612305,7,4,0,5,7,137
-164.515,-140.869,-0.120605,128.265,134.949,-0.688477,171.431,97.8394,0.074707,64.5203,85.9985,-0.612305,7,4,0,5,7,137
-165.948,-140.869,-0.120605,128.265,134.949,-0.688477,172.436,97.8394,0.074707,64.5203,85.9985,-0.751465,7,4,0,5,7,137
-167.316,-131.47,0.0483398,129.496,121.826,-0.535156,173.315,86.9141,-0.123047,65.3717,74.8901,-0.751465,8,5,2,5,8,116
-167.316,-131.47,0.0483398,129.496,121.826,-0.535156,173.315,86.9141,-0.123047,65.3717,66.7114,-0.832031,6,5,0,6,6,112
-168.668,-125.732,0.106445,130.605,103.027,0.0732422,174.144,84.0454,-0.0874023,66.5308,58.7158,-0.708496,6,7,4,5,6,102
-168.668,-124.939,0.081543,130.605,103.027,0.0732422,174.979,84.0454,-0.0874023,66.5308,58.7158,-0.708496,6,7,4,5,6,102
-170.041,-124.939,0.081543,130.605,103.027,0.0732422,174.979,84.0454,-0.0874023,66.5308,58.7158,-0.390625,6,7,4,5,6,102
-170.041,-124.939,0.081543,130.605,103.027,0.0732422,174.979,84.0454,-0.0874023,66.8658,49.9268,-0.390625,6,7,4,5,6,102
