Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Left_Plantar_Pressure (1),Left_Plantar_Pressure (2),Left_Plantar_Pressure (3),Right_Plantar_Pressure (1),Right_Plantar_Pressure (2),Right_Plantar_Pressure (3)
-16.4465,-14.9536,-0.645508,108.336,189.453,0.0439453,148.425,40.6494,-0.334473,61.3562,132.507,-1.32861,7,181,4,5,8,88
-16.4465,-14.9536,-0.645508,108.336,189.453,-0.0791016,148.425,40.6494,-0.334473,61.3562,132.507,-1.32861,7,181,4,5,8,88
-16.4465,-14.9536,-0.645508,110.369,195.801,-0.0791016,146.986,12.146,-0.334473,61.3562,101.196,-0.716797,7,181,4,5,8,88
-18.5944,-24.6582,-0.733887,110.369,195.801,-0.0791016,146.986,12.146,-0.334473,62.691,101.196,-0.716797,7,165,2,8,8,86
-18.5944,-24.6582,-0.733887,110.369,195.801,-0.0791016,146.986,21.1182,0.197754,62.691,101.196,-0.716797,7,165,2,8,8,86
-20.5115,-42.2974,-0.576172,112.495,203.064,-0.188965,145.327,21.1182,0.197754,64.4269,102.6,-0.822754,5,167,2,7,8,79
-20.5115,-42.2974,-0.576172,112.495,210.327,-0.169922,145.327,21.1182,0.32959,64.4269,102.6,-0.966797,5,167,2,7,8,79
-22.7087,-74.585,0.138672,117.065,213.806,-0.046875,144.025,37.5977,0.229492,66.5747,155.151,-0.683594,50,16,2,5,6,78
-26.076,-106.75,0.138672,117.065,213.806,-0.046875,144.025,37.5977,0.229492,66.5747,155.151,-0.683594,50,16,2,5,6,78
-26.076,-106.75,0.138672,117.065,213.806,-0.046875,144.025,37.5977,0.229492,66.5747,155.151,-0.683594,50,16,2,5,6,78
-26.076,-106.75,0.138672,117.065,213.806,0.034668,144.025,3.2959,-0.205078,68.7555,155.151,-0.509277,50,16,2,5,6,78
-26.076,-106.75,0.246094,119.421,210.388,0.034668,145.212,3.2959,-0.205078,70.777,152.71,-0.509277,50,16,2,5,6,78
-30.8936,-130.249,0.246094,119.421,210.388,0.034668,145.212,3.2959,-0.205078,70.777,152.71,-0.509277,238,8,1,5,7,158
-34.8322,-141.479,0.185547,121.86,212.769,-0.302246,148.398,53.0396,-0.485352,72.5897,138.062,-0.584473,222,8,1,4,8,175
-33.4149,-145.081,0.0600586,124.299,186.523,-0.584473,-169.074,96.1914,-0.0332031,74.1553,111.511,-0.416504,7,7,1,5,7,181
-25.9882,-145.447,0.0112305,126.48,186.523,-0.584473,161.982,96.1914,-0.0332031,75.4297,111.511,-0.416504,8,6,2,6,8,180
-25.9882,-145.447,0.0112305,126.48,158.569,-0.913086,161.982,55.481,0.39502,75.4297,111.511,-0.416504,8,6,2,6,8,180
-25.9882,-145.447,0.0112305,128.282,158.569,-0.913086,161.785,55.481,0.39502,75.4297,111.511,-0.469727,8,6,2,6,8,180
-25.9882,-145.447,0.0112305,128.282,158.569,-0.913086,161.785,55.481,0.39502,76.4514,93.3838,-0.469727,8,6,2,6,8,180
-16.7377,-153.564,-0.012207,128.282,158.569,-0.913086,161.785,55.481,0.39502,76.4514,93.3838,-0.469727,5,50,0,5,8,180
-16.7377,-153.564,-0.012207,128.282,158.569,-0.913086,161.785,55.481,0.39502,76.4514,93.3838,-0.469727,5,50,0,5,8,180
-16.7377,-153.564,-0.012207,128.282,158.569,-0.913086,161.785,55.481,0.39502,76.4514,93.3838,-0.716309,5,50,0,5,8,180
-16.7377,-153.564,-0.012207,128.282,158.569,-0.913086,161.686,73.1812,0.504395,76.4514,93.3838,-0.716309,5,50,0,5,8,180
-16.7377,-153.564,-0.012207,128.282,158.569,-0.913086,161.686,73.1812,0.504395,76.4514,93.3838,-0.716309,5,50,0,5,8,180
-9.49768,-160.095,0.0844727,130.952,127.014,-0.498535,162.493,113.22,0.115723,77.2809,67.749,-0.816895,6,53,1,4,8,179
-9.49768,-160.095,0.0844727,130.952,127.014,-0.498535,162.493,113.22,0.115723,77.2809,67.749,-0.816895,6,53,1,4,8,179
-9.49768,-160.095,0.153809,130.952,127.014,-0.498535,162.493,113.22,0.115723,77.8522,67.749,-0.816895,6,53,1,4,8,179
-4.08142,-161.255,0.153809,130.952,127.014,-0.498535,162.493,113.22,0.115723,77.8522,67.749,-0.816895,5,53,3,9,10,179
-4.08142,-161.255,0.153809,132.111,122.314,0.0712891,163.262,110.291,-0.0332031,78.1653,59.9976,-0.696289,5,53,3,9,10,179
-0.159302,-159.851,0.167969,132.111,109.802,0.29248,163.262,94.1162,-0.0351562,78.1653,52.3682,-0.463379,7,49,7,5,8,176
2.99927,-160.583,0.136719,133.879,76.9043,0.144043,164.96,90.0879,0.0556641,78.5388,45.5933,-0.203125,6,53,2,8,11,164
2.99927,-160.583,0.136719,133.879,76.9043,0.144043,164.96,90.0879,0.0556641,78.5388,45.5933,-0.203125,6,53,2,8,11,164
6.05896,-157.166,0.117188,133.879,76.9043,0.144043,164.96,90.0879,0.0556641,78.5388,45.5933,-0.203125,7,5,0,9,10,150
6.05896,-157.166,0.117188,133.879,76.9043,0.144043,164.96,90.0879,0.0556641,78.5388,45.5933,-0.203125,7,5,0,9,10,150
6.05896,-157.166,0.117188,133.879,76.9043,-0.106445,164.96,88.9893,0.11377,78.5388,45.5933,-0.203125,7,5,0,9,10,150
6.05896,-157.166,0.117188,134.187,28.9307,-0.106445,165.91,88.9893,0.11377,78.5388,45.5933,-0.178711,7,5,0,9,10,150
6.05896,-153.137,0.0742188,134.187,28.9307,-0.106445,165.91,88.9893,0.11377,78.8629,40.1001,-0.178711,7,5,0,9,10,150
9.22852,-153.137,0.0742188,134.187,28.9307,-0.106445,165.91,88.9893,0.11377,78.8629,40.1001,-0.178711,5,7,1,6,16,63
9.22852,-153.137,0.0742188,134.187,28.9307,-0.106445,165.91,88.9893,0.11377,78.8629,40.1001,-0.178711,5,7,1,6,16,63
9.22852,-153.137,0.0742188,134.187,28.9307,-0.106445,165.91,94.1162,0.15332,78.8629,35.4004,-0.329102,5,7,1,6,16,63
9.22852,-153.137,0.0742188,134.187,-17.7002,-0.272461,166.811,94.1162,0.15332,79.2859,35.4004,-0.329102,5,7,1,6,16,63
9.22852,-153.137,0.0117188,134.077,-17.7002,-0.272461,166.811,94.1162,0.15332,79.2859,35.4004,-0.329102,5,7,1,6,16,63
12.7167,-153.992,0.0117188,134.077,-17.7002,-0.272461,166.811,94.1162,0.15332,79.2859,35.4004,-0.329102,5,7,1,6,16,63
12.7167,-153.992,0.0117188,134.077,-17.7002,-0.272461,166.811,94.1162,0.15332,79.2859,35.4004,-0.329102,8,5,1,6,19,46
12.7167,-152.649,0.00488281,134.077,-55.481,-0.317871,166.811,99.1211,0.209473,79.2859,31.3721,-0.51709,7,5,2,6,20,33
16.5894,-152.649,0.00488281,133.627,-55.481,-0.317871,167.679,99.1211,0.209473,79.7034,31.3721,-0.51709,7,5,2,6,20,33
16.5894,-152.649,0.00488281,133.627,-85.8765,-0.231445,167.679,99.1211,0.209473,79.7034,28.5645,-0.592773,7,5,2,6,20,33
16.5894,-152.649,0.00488281,132.88,-85.8765,-0.231445,168.475,100.952,0.199707,80.0055,28.5645,-0.592773,7,5,2,6,20,33
16.5894,-143.799,0.034668,132.88,-85.8765,-0.231445,168.475,100.952,0.149902,80.0055,28.5645,-0.592773,6,5,1,7,19,23
20.2148,-143.799,0.034668,131.852,-112.366,-0.129883,169.222,102.051,0.149902,80.0055,26.7944,-0.507812,6,5,1,7,19,23
23.1482,-133.911,0.102051,131.852,-112.366,0.0268555,169.222,103.76,0.169922,80.1263,26.7944,-0.507812,7,4,1,5,17,27
23.1482,-133.911,0.102051,131.852,-112.366,0.0268555,169.222,103.76,0.169922,80.1263,26.7944,-0.345703,7,4,1,5,17,27
23.1482,-133.911,0.102051,131.852,-112.366,0.0268555,169.222,103.76,0.169922,80.1263,26.001,-0.345703,7,4,1,5,17,27
25.4938,-121.887,0.150391,130.54,-163.818,0.181152,169.991,103.76,0.169922,80.0989,25.6958,-0.228027,9,50,2,5,17,21
27.4219,-111.328,0.158203,128.958,-163.818,0.181152,170.837,104.431,0.227539,80.0275,25.6958,-0.228027,8,50,7,4,16,22
27.4219,-111.328,0.158203,128.958,-163.818,0.181152,170.837,104.431,0.309082,80.0275,25.6958,-0.228027,8,50,7,4,16,22
27.4219,-111.328,0.158203,128.958,-163.818,0.181152,170.837,105.347,0.309082,80.0275,25.6958,-0.228027,8,50,7,4,16,22
27.4219,-111.328,0.158203,127.112,-188.477,0.292969,171.766,105.347,0.309082,80.0275,25.2075,-0.216797,8,50,7,4,16,22
