3.5km/s
Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Left_Plantar_Pressure (1),Left_Plantar_Pressure (2),Left_Plantar_Pressure (3),Right_Plantar_Pressure (1),Right_Plantar_Pressure (2),Right_Plantar_Pressure (3)
123.327,156.799,0.408203,-176.358,-47.1802,-0.134277,123.014,12.3291,0.27002,75.8527,135.437,-0.75293,37,66,1,3,4,157
124.953,162.842,0.202148,-176.924,-57.1899,0.129883,123.481,56.3354,-0.255371,77.3907,127.38,-0.528809,36,66,1,3,4,158
124.953,162.842,0.202148,-176.924,-57.1899,0.412598,123.481,84.8999,-0.382812,77.3907,127.38,-0.416992,36,66,1,3,4,158
124.953,162.842,0.202148,-176.924,-57.1899,0.412598,123.481,84.8999,-0.382812,77.3907,113.953,-0.416992,32,64,1,3,4,210
124.953,162.842,0.202148,-177.572,-66.7114,0.412598,124.178,84.8999,-0.382812,78.7805,113.953,-0.416992,32,64,1,3,4,210
124.953,162.842,-0.00537109,-177.572,-66.7114,0.412598,124.178,84.8999,-0.382812,78.7805,113.953,-0.416992,32,64,1,3,4,210
126.568,163.147,-0.00537109,-177.572,-66.7114,0.412598,124.178,84.8999,-0.382812,78.7805,113.953,-0.416992,32,64,1,3,4,210
126.568,163.147,-0.00537109,-177.572,-66.7114,0.412598,124.178,84.8999,-0.382812,78.7805,113.953,-0.416992,32,64,1,3,4,210
126.568,163.147,-0.00537109,-177.572,-78.2471,0.447266,124.178,77.8198,0.0498047,78.7805,101.196,-0.553711,253,54,1,4,4,237
126.568,163.147,-0.00537109,-178.319,-78.2471,0.447266,124.849,77.8198,0.0498047,80.0989,101.196,-0.553711,253,54,1,4,4,237
126.568,160.217,-0.207031,-178.319,-78.2471,0.447266,124.849,77.8198,0.0498047,80.0989,101.196,-0.553711,253,54,1,4,4,237
128.145,160.217,-0.207031,-178.319,-78.2471,0.271973,124.849,77.8198,0.38623,80.0989,101.196,-0.637207,253,54,1,4,4,237
128.145,160.217,-0.207031,-179.258,-97.168,0.271973,125.387,58.1055,0.38623,80.0989,90.6982,-0.637207,206,53,1,3,6,251
128.145,160.217,-0.207031,-179.258,-97.168,0.271973,125.387,58.1055,0.38623,81.3293,90.6982,-0.637207,206,53,1,3,6,251
128.145,160.217,-0.349609,-179.258,-97.168,0.271973,125.387,58.1055,0.38623,81.3293,90.6982,-0.637207,206,53,1,3,6,251
129.716,161.316,-0.349609,-179.258,-97.168,0.271973,125.387,58.1055,0.38623,81.3293,90.6982,-0.637207,206,53,1,3,6,251
129.716,161.316,-0.349609,-179.258,-97.168,0.271973,125.387,58.1055,0.225098,81.3293,90.6982,-0.637207,206,53,1,3,6,251
129.716,161.316,-0.349609,-179.258,-111.206,0.0385742,125.881,51.1475,0.225098,81.3293,90.6982,-0.640137,192,48,1,3,8,8
129.716,161.316,-0.349609,179.648,-111.206,0.0385742,125.881,51.1475,0.225098,82.406,84.5337,-0.640137,192,48,1,3,8,8
129.716,161.316,-0.406738,179.648,-111.206,0.0385742,125.881,51.1475,0.225098,82.406,84.5337,-0.640137,192,48,1,3,8,8
131.347,167.786,-0.406738,179.648,-111.206,0.0385742,125.881,51.1475,0.225098,82.406,84.5337,-0.640137,192,48,1,3,8,8
131.347,167.786,-0.406738,179.648,-111.206,0.0385742,125.881,51.1475,0.225098,82.406,84.5337,-0.640137,192,48,1,3,8,8
131.347,167.786,-0.406738,179.648,-111.206,0.0385742,125.881,60.0586,-0.115234,82.406,84.5337,-0.668457,192,48,1,3,8,8
131.347,167.786,-0.406738,179.648,-111.206,0.0385742,126.414,60.0586,-0.115234,83.3398,80.8716,-0.668457,192,48,1,3,8,8
131.347,167.786,-0.326172,178.434,-121.155,-0.183105,126.414,60.0586,-0.115234,83.3398,80.8716,-0.668457,192,48,1,3,8,8
131.347,167.786,-0.326172,178.434,-121.155,-0.183105,126.414,60.0586,-0.254883,83.3398,80.8716,-0.861816,25,35,2,3,5,7
133.033,172.729,-0.326172,178.434,-127.197,-0.303223,126.414,67.749,-0.254883,83.3398,80.8716,-0.861816,25,35,2,3,5,7
133.033,172.729,-0.326172,177.138,-127.197,-0.303223,126.996,67.749,-0.254883,84.1968,77.7588,-0.861816,111,37,1,2,5,17
133.033,172.729,-0.18457,177.138,-127.197,-0.303223,126.996,67.749,-0.254883,84.1968,77.7588,-0.861816,111,37,1,2,5,17
134.698,168.579,-0.18457,177.138,-127.197,-0.303223,126.996,67.749,-0.254883,84.1968,77.7588,-0.861816,111,37,1,2,5,17
134.698,168.579,-0.18457,177.138,-127.197,-0.291504,126.996,67.749,-0.259277,84.1968,77.7588,-0.861816,111,37,1,2,5,17
134.698,168.579,-0.18457,177.138,-131.47,-0.291504,127.579,66.4062,-0.259277,84.1968,73.8525,-0.958008,4,33,3,3,4,10
134.698,168.579,-0.18457,175.781,-131.47,-0.291504,127.579,66.4062,-0.259277,84.9768,73.8525,-0.958008,4,33,3,3,4,10
134.698,168.579,-0.0268555,175.781,-131.47,-0.291504,127.579,66.4062,-0.259277,84.9768,73.8525,-0.958008,4,33,3,3,4,10
136.236,155.09,-0.0268555,175.781,-131.47,-0.291504,127.579,66.4062,-0.259277,84.9768,73.8525,-0.958008,4,33,3,3,4,10
136.236,155.09,-0.0268555,175.781,-127.197,-0.217285,128.161,61.4624,-0.226074,84.9768,70.0684,-0.8125,4,27,2,2,5,253
136.236,155.09,-0.0268555,174.446,-127.197,-0.217285,128.161,61.4624,-0.226074,85.6635,70.0684,-0.8125,4,27,2,2,5,253
136.236,155.09,0.0556641,174.446,-127.197,-0.217285,128.161,61.4624,-0.226074,85.6635,70.0684,-0.8125,4,27,2,2,5,253
137.576,133.972,0.0556641,174.446,-127.197,-0.217285,128.161,61.4624,-0.226074,85.6635,70.0684,-0.8125,4,27,2,2,5,253
137.576,133.972,0.0556641,174.446,-127.197,-0.217285,128.161,61.4624,-0.226074,85.6635,70.0684,-0.8125,4,27,2,2,5,253
137.576,133.972,0.0556641,174.446,-116.089,-0.137695,128.716,57.1289,-0.161621,85.6635,65.6738,-0.592285,4,3,2,69,6,241
137.576,133.972,0.0556641,173.205,-116.089,-0.137695,128.716,57.1289,-0.161621,86.2952,65.6738,-0.592285,4,3,2,69,6,241
137.576,109.436,0.03125,173.205,-116.089,-0.137695,128.716,57.1289,-0.161621,86.2952,65.6738,-0.592285,4,3,2,69,6,241
138.675,109.436,0.03125,173.205,-116.089,-0.137695,128.716,57.1289,-0.161621,86.2952,65.6738,-0.592285,4,3,2,69,6,241
138.675,109.436,0.03125,173.205,-116.089,-0.137695,128.716,57.1289,-0.0961914,86.2952,65.6738,-0.592285,4,3,2,69,6,241
138.675,109.436,0.03125,173.205,-106.567,-0.0927734,128.716,57.8613,-0.0961914,86.2952,61.0962,-0.48877,4,3,1,91,8,216
138.675,109.436,0.03125,172.051,-106.567,-0.0927734,129.287,57.8613,-0.0961914,86.9159,61.0962,-0.48877,4,3,1,91,8,216
139.576,89.4775,-0.00439453,170.92,-104.492,-0.0717773,129.287,62.439,-0.0463867,87.5476,56.8237,-0.528809,3,4,0,93,7,204
139.576,89.4775,-0.0249023,170.92,-104.492,-0.0717773,129.924,62.439,-0.0463867,87.5476,56.8237,-0.528809,3,4,0,93,7,204
140.422,84.6558,-0.0249023,170.92,-104.492,-0.0717773,129.924,62.439,-0.0463867,87.5476,56.8237,-0.528809,3,4,0,93,7,204
140.422,84.6558,-0.0249023,170.92,-104.492,-0.0717773,129.924,62.439,0.0419922,87.5476,56.8237,-0.528809,3,4,0,93,7,204
140.422,84.6558,-0.0249023,170.92,-110.229,-0.0791016,129.924,64.8193,0.0419922,87.5476,52.9785,-0.55957,4,4,1,95,10,193
140.422,84.6558,-0.0249023,169.744,-110.229,-0.0791016,130.633,64.8193,0.0419922,88.1299,52.9785,-0.55957,4,4,1,95,10,193
140.422,84.6558,-0.0126953,169.744,-110.229,-0.0791016,130.633,64.8193,0.0419922,88.1299,52.9785,-0.55957,4,4,1,95,10,193
141.235,82.3364,-0.0126953,169.744,-110.229,-0.0791016,130.633,64.8193,0.0419922,88.1299,52.9785,-0.55957,4,4,1,95,10,193
141.235,82.3364,-0.0126953,169.744,-110.229,-0.0791016,130.633,64.8193,0.146973,88.1299,52.9785,-0.55957,4,4,1,95,10,193
141.235,82.3364,-0.0126953,169.744,-118.164,-0.12793,131.369,65.3076,0.146973,88.1299,49.3774,-0.521973,3,3,0,99,13,169
141.235,82.3364,-0.000976562,168.508,-118.164,-0.12793,131.369,65.3076,0.146973,88.6243,49.3774,-0.521973,3,3,0,99,13,169
141.235,70.4346,-0.000976562,168.508,-118.164,-0.12793,131.369,65.3076,0.146973,88.6243,49.3774,-0.521973,3,3,0,99,13,169
141.927,70.4346,-0.000976562,168.508,-118.164,-0.166504,131.369,68.7256,0.205078,88.6243,49.3774,-0.521973,3,3,0,99,13,169
141.927,70.4346,-0.000976562,168.508,-124.512,-0.166504,131.369,68.7256,0.205078,88.6243,45.4712,-0.502441,4,4,0,110,18,142
141.927,70.4346,-0.000976562,167.223,-124.512,-0.166504,132.155,68.7256,0.205078,89.0253,45.4712,-0.502441,4,4,0,110,18,142
141.927,50.415,0.0141602,167.223,-124.512,-0.166504,132.155,68.7256,0.205078,89.0253,45.4712,-0.502441,4,4,0,110,18,142
142.416,50.415,0.0141602,167.223,-124.512,-0.166504,132.155,68.7256,0.205078,89.0253,45.4712,-0.502441,4,4,0,110,18,142
142.416,50.415,0.0141602,167.223,-128.174,-0.212891,132.155,68.7256,0.190918,89.0253,41.4429,-0.515625,4,4,2,112,22,125
142.685,28.1982,0.00634766,165.916,-128.174,-0.213379,132.979,72.6318,0.146973,89.3604,41.4429,-0.515625,4,4,2,112,22,125
142.685,28.1982,0.00634766,164.603,-130.066,-0.213379,133.824,75.2563,0.146973,89.646,37.2314,-0.522461,4,3,1,120,31,79
142.685,28.1982,-0.0336914,164.603,-130.066,-0.213379,133.824,75.2563,0.146973,89.646,37.2314,-0.522461,4,3,1,120,31,79
142.723,6.22559,-0.0336914,164.603,-130.066,-0.213379,133.824,75.2563,0.146973,89.646,37.2314,-0.522461,4,3,1,120,31,79
