Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Left_Plantar_Pressure (1),Left_Plantar_Pressure (2),Left_Plantar_Pressure (3),Right_Plantar_Pressure (1),Right_Plantar_Pressure (2),Right_Plantar_Pressure (3)
83.6224,58.8989,-0.0283203,72.4329,60.8521,-0.15918,107.287,27.2217,0.0512695,101.011,42.4194,-0.581543,4,4,64,174,213,4
83.6224,58.8989,-0.0283203,72.4329,60.8521,-0.15918,107.287,27.2217,0.0512695,101.264,44.9829,-0.581543,4,4,64,174,213,4
83.6224,58.8989,-0.0283203,72.4329,60.8521,-0.15918,107.287,27.2217,0.0541992,101.264,44.9829,-0.581543,4,4,64,174,213,4
84.2706,62.6221,0.0473633,72.4329,67.8711,-0.133301,107.441,26.3062,0.0541992,101.264,44.9829,-0.581543,4,4,153,179,218,5
84.2706,62.6221,0.205566,73.2294,67.8711,-0.133301,107.441,26.3062,0.0541992,101.264,44.9829,-0.581543,4,4,153,179,218,5
84.8254,56.5796,0.205566,73.2294,67.8711,-0.133301,107.441,26.3062,0.0541992,101.264,47.6074,-0.566406,4,4,153,179,218,5
84.8254,56.5796,0.205566,73.2294,67.8711,-0.0102539,107.441,25.3296,0.0600586,101.5,47.6074,-0.566406,4,4,153,179,218,5
84.8254,56.5796,0.205566,73.2294,74.4629,-0.0102539,107.567,25.3296,0.0600586,101.5,47.6074,-0.566406,4,4,153,179,218,5
84.8254,56.5796,0.205566,74.1357,74.4629,-0.0102539,107.567,25.3296,0.0600586,101.5,47.6074,-0.566406,4,4,185,175,185,4
84.8254,56.5796,0.199707,74.1357,74.4629,-0.0102539,107.567,25.3296,0.0600586,101.5,47.6074,-0.459961,4,4,185,175,185,4
85.2704,11.8408,0.187988,74.8993,78.5522,0.0112305,107.677,24.0479,0.10498,102.006,53.1616,-0.378906,4,4,221,177,120,4
85.2704,11.8408,0.187988,74.8993,78.5522,0.0112305,107.677,24.0479,0.172363,102.006,53.1616,-0.378906,4,4,221,177,120,4
85.2704,11.8408,0.187988,74.8993,66.8335,-0.180176,107.781,22.8271,0.172363,102.006,53.1616,-0.378906,4,4,221,177,120,4
85.2704,11.8408,0.187988,75.5145,66.8335,-0.180176,107.781,22.8271,0.172363,102.006,53.1616,-0.378906,3,4,232,177,97,4
85.2704,11.8408,0.264648,75.5145,66.8335,-0.180176,107.781,22.8271,0.172363,102.006,53.1616,-0.462402,3,4,232,177,97,4
85.3802,11.9629,0.264648,75.5145,66.8335,-0.180176,107.781,22.8271,0.172363,102.538,56.5796,-0.462402,3,4,232,177,97,4
85.3802,11.9629,0.264648,75.5145,66.8335,-0.180176,107.781,22.8271,0.183594,102.538,56.5796,-0.462402,3,4,232,177,97,4
85.3802,11.9629,0.264648,75.5145,34.8511,-0.268555,107.869,20.4468,0.183594,102.538,56.5796,-0.462402,3,4,232,177,97,4
85.3802,11.9629,0.264648,75.7507,34.8511,-0.268555,107.869,20.4468,0.183594,102.538,56.5796,-0.462402,3,4,201,175,88,4
85.3802,11.9629,0.364746,75.7507,34.8511,-0.268555,107.869,20.4468,0.183594,102.538,56.5796,-0.623535,3,4,201,175,88,4
85.6494,28.4424,0.364746,75.7507,34.8511,-0.268555,107.869,20.4468,0.183594,103.11,57.251,-0.623535,3,4,201,175,88,4
85.6494,28.4424,0.364746,75.7507,34.8511,-0.268555,107.869,20.4468,0.0976562,103.11,57.251,-0.623535,3,4,201,175,88,4
85.6494,28.4424,0.364746,75.7507,10.0708,-0.0566406,107.891,14.1602,0.0976562,103.11,57.251,-0.623535,3,4,201,175,88,4
85.6494,28.4424,0.364746,75.7068,10.0708,-0.0566406,107.891,14.1602,0.0976562,103.11,57.251,-0.623535,4,4,244,176,65,3
85.6494,28.4424,0.442871,75.7068,10.0708,-0.0566406,107.891,14.1602,0.0976562,103.11,57.251,-0.790039,4,4,244,176,65,3
86.1108,46.6919,0.442871,75.7068,10.0708,-0.0566406,107.891,14.1602,0.0976562,103.681,58.4106,-0.790039,4,4,244,176,65,3
86.1108,46.6919,0.442871,75.7068,10.0708,-0.0566406,107.891,14.1602,-0.0234375,103.681,58.4106,-0.790039,4,4,244,176,65,3
86.1108,46.6919,0.442871,75.7837,19.7754,0.280762,107.82,6.40869,-0.0234375,103.681,58.4106,-0.790039,3,4,26,177,232,3
86.6931,59.2041,0.402832,76.1902,46.875,0.545898,107.677,0.854492,-0.115234,104.203,59.6924,-0.826172,4,5,38,180,202,4
86.6931,59.3262,0.249512,76.1902,46.875,0.545898,107.677,0.854492,-0.115234,104.203,59.6924,-0.739258,4,5,38,180,202,4
87.2809,59.3262,0.249512,76.1902,46.875,0.545898,107.677,0.854492,-0.115234,104.692,62.3779,-0.739258,4,5,38,180,202,4
87.2809,59.3262,0.249512,76.8768,66.8945,0.452637,107.49,-2.62451,-0.15918,104.692,62.3779,-0.739258,4,4,34,177,133,4
87.2809,59.3262,0.0751953,76.8768,66.8945,0.452637,107.49,-2.62451,-0.15918,104.692,62.3779,-0.723633,4,4,34,177,133,4
87.7972,51.6968,0.0751953,76.8768,66.8945,0.452637,107.49,-2.62451,-0.15918,105.197,67.3218,-0.723633,4,4,34,177,133,4
87.7972,51.6968,0.0751953,76.8768,66.8945,0.452637,107.49,-2.62451,-0.15918,105.197,67.3218,-0.723633,4,4,34,177,133,4
87.7972,51.6968,0.0751953,76.8768,66.8945,0.0336914,107.49,-2.62451,-0.169434,105.197,67.3218,-0.723633,4,4,34,177,133,4
87.7972,51.6968,0.0751953,76.8768,64.7583,0.0336914,107.243,-6.40869,-0.169434,105.197,67.3218,-0.723633,4,4,34,177,133,4
88.2532,45.7153,-0.0683594,77.5745,47.0581,-0.266113,106.908,-12.6953,-0.15918,105.703,70.0684,-0.783691,4,4,72,176,188,3
88.6871,43.2739,-0.243164,78.4259,32.0435,-0.30957,106.474,-20.0195,-0.179199,106.191,71.0449,-0.876465,2,4,92,177,89,2
89.1101,42.6025,-0.243164,78.4259,32.0435,-0.30957,106.474,-20.0195,-0.179199,106.647,74.3408,-0.876465,2,4,92,177,89,2
89.1101,42.6025,-0.243164,78.4259,32.0435,-0.30957,106.474,-20.0195,-0.218262,106.647,74.3408,-0.876465,2,4,92,177,89,2
89.1101,42.6025,-0.243164,78.4259,33.8135,-0.26123,105.952,-27.71,-0.218262,106.647,74.3408,-0.876465,2,4,92,177,89,2
89.1101,41.8701,-0.271973,78.783,33.8135,-0.26123,105.952,-27.71,-0.218262,106.647,78.186,-0.853027,3,4,130,177,71,3
89.5276,41.8701,-0.271973,78.783,33.8135,-0.26123,105.952,-27.71,-0.245117,107.059,78.186,-0.853027,3,4,130,177,71,3
89.5276,41.8701,-0.176758,79.3048,49.5605,-0.255371,105.342,-35.2783,-0.245117,107.059,78.186,-0.804688,3,4,146,189,85,2
89.9121,39.4287,-0.176758,79.3048,49.5605,-0.255371,105.342,-35.2783,-0.245117,107.422,82.4585,-0.804688,3,4,146,189,85,2
89.9121,39.4287,-0.176758,79.3048,49.5605,-0.255371,105.342,-35.2783,-0.231934,107.422,82.4585,-0.804688,3,4,146,189,85,2
89.9121,39.4287,-0.176758,79.3048,60.3638,-0.296875,104.678,-42.0532,-0.231934,107.422,82.4585,-0.804688,3,4,146,189,85,2
89.9121,39.4287,-0.176758,79.931,60.3638,-0.296875,104.678,-42.0532,-0.231934,107.422,82.4585,-0.804688,4,4,186,102,82,1
89.9121,39.4287,-0.00927734,79.931,60.3638,-0.296875,104.678,-42.0532,-0.231934,107.422,82.4585,-0.695312,4,4,186,102,82,1
90.2802,37.5977,-0.00927734,79.931,60.3638,-0.296875,104.678,-42.0532,-0.231934,107.757,87.0972,-0.695312,4,4,186,102,82,1
90.6372,36.9263,0.0961914,80.5243,58.8989,-0.291992,103.969,-48.645,-0.19873,107.757,87.0972,-0.562988,4,4,199,89,56,2
90.6372,36.9263,0.0961914,80.5243,58.8989,-0.291992,103.969,-48.645,-0.137207,107.757,89.9658,-0.562988,4,4,199,89,56,2
90.6372,36.9263,0.0961914,81.0242,52.2461,-0.208496,103.233,-54.1382,-0.137207,107.757,89.9658,-0.562988,4,4,206,74,36,1
90.6372,36.9263,0.0966797,81.0242,52.2461,-0.208496,103.233,-54.1382,-0.137207,108.098,89.9658,-0.455078,4,4,206,74,36,1
90.9998,37.2314,0.0966797,81.0242,52.2461,-0.208496,103.233,-54.1382,-0.137207,108.515,92.2852,-0.455078,4,4,206,74,36,1
90.9998,37.2314,0.0966797,81.0242,52.2461,-0.208496,103.233,-54.1382,-0.078125,108.515,92.2852,-0.455078,4,4,206,74,36,1
90.9998,37.2314,0.0966797,81.0242,48.2788,-0.122559,102.475,-58.8379,-0.078125,108.515,92.2852,-0.455078,4,4,206,74,36,1
90.9998,37.2314,0.0966797,81.4691,48.2788,-0.122559,102.475,-58.8379,-0.078125,108.515,92.2852,-0.455078,4,4,218,22,12,4
90.9998,37.2314,0.0522461,81.4691,48.2788,-0.122559,102.475,-58.8379,-0.078125,108.515,92.2852,-0.399902,4,4,218,22,12,4
91.3733,38.0859,0.0522461,81.4691,48.2788,-0.122559,102.475,-58.8379,-0.078125,109.081,96.3135,-0.399902,4,4,218,22,12,4
91.3733,38.0859,0.0522461,81.4691,48.2788,-0.0620117,102.475,-58.8379,-0.00683594,109.081,96.3135,-0.399902,4,4,218,22,12,4
91.7523,39.1235,0.0141602,81.8866,47.0581,-0.0620117,101.678,-63.7207,-0.00683594,109.811,100.586,-0.424805,3,4,224,12,7,1
91.7523,39.1235,0.0141602,81.8866,47.0581,-0.0620117,101.678,-63.7207,0.0693359,109.811,100.586,-0.424805,3,4,224,12,7,1
91.7523,39.1235,0.0141602,81.8866,44.7998,-0.0507812,100.849,-69.0308,0.0693359,109.811,100.586,-0.424805,3,4,224,12,7,1
91.7523,39.1235,0.0141602,82.2931,44.7998,-0.0507812,100.849,-69.0308,0.0693359,109.811,100.586,-0.424805,4,4,254,4,7,2
91.7523,40.0391,-0.00927734,82.2931,44.7998,-0.0507812,100.849,-69.0308,0.0693359,109.811,103.821,-0.508789,4,4,254,4,7,2
92.1423,40.0391,-0.00927734,82.2931,44.7998,-0.0507812,100.849,-69.0308,0.128906,110.652,103.821,-0.508789,4,4,254,4,7,2
92.1423,40.0391,-0.00927734,82.2931,44.7998,-0.0507812,100.849,-69.0308,0.128906,110.652,103.821,-0.508789,4,4,254,4,7,2
92.1423,40.0391,-0.00927734,82.2931,41.3208,-0.0727539,99.9866,-74.3408,0.128906,110.652,103.821,-0.508789,4,4,254,4,7,2
92.1423,40.0391,-0.00927734,82.6611,41.3208,-0.0727539,99.9866,-74.3408,0.128906,110.652,103.821,-0.508789,3,4,2,4,5,2
92.1423,40.9546,-0.0209961,82.6611,41.3208,-0.0727539,99.9866,-74.3408,0.128906,110.652,104.736,-0.564453,3,4,2,4,5,2
92.1423,40.9546,-0.0209961,82.6611,41.3208,-0.0727539,99.9866,-74.3408,0.128906,110.652,104.736,-0.564453,3,4,2,4,5,2
92.5378,40.9546,-0.0209961,82.6611,41.3208,-0.0727539,99.9866,-74.3408,0.128906,111.531,104.736,-0.564453,3,4,2,4,5,2
92.5378,40.9546,-0.0209961,82.6611,36.9263,-0.0888672,99.1241,-78.8574,0.161621,111.531,104.736,-0.564453,3,4,2,4,5,2
