time,Angle_Thigh,Angle_Calf,Presure_Front,Presure_Middle,Presure_Back,Angle_Thigh_D,Angle_Calf,Presure_Front_D,Presure_Middle_D,Presure_Back_D,label
2.196725845,21,6,0,0,7,0,-0.455222941,0,0,1.820891764,"0,0,1"
2.220705748,20,6,0,0,5,-0.450307296,0,0,0,-0.900614592,"0,0,1"
2.260676861,16,5,2,0,382,-1.769381582,-0.442345395,0.884690791,0,166.7642141,"1,0,0"
2.284661293,15,4,2,0,407,-0.437701642,-0.437701642,0,0,10.94254106,"1,0,0"
2.30069232,14,4,2,0,443,-0.434651775,0,0,0,15.64746389,"1,0,0"
2.348618031,10,2,1,0,428,-1.703129222,-0.851564611,-0.425782306,0,-6.386734584,"1,0,0"
2.372604609,9,1,1,0,474,-0.421477728,-0.421477728,0,0,19.38797549,"1,0,0"
2.388634443,8,0,2,0,500,-0.418649242,-0.418649242,0.418649242,0,10.8848803,"1,0,0"
2.412612915,6,0,0,21,502,-0.828976744,0,-0.828976744,8.704255817,0.828976744,"1,0,0"
2.436596632,4,-1,0,72,480,-0.820817026,-0.410408513,0,20.93083415,-9.028987281,"1,0,0"
2.45257926,3,-2,3,98,446,-0.40773402,-0.40773402,1.223202059,10.60108451,-13.86295667,"1,0,0"
2.476569414,2,-3,1,106,389,-0.403784362,-0.403784362,-0.807568723,3.230274893,-23.01570861,"1,0,0"
2.532573223,0,-6,0,122,159,-0.789710632,-1.184565948,-0.394855316,6.317685054,-90.81672265,"1,0,0"
2.55776453,-1,-7,1,137,104,-0.390966404,-0.390966404,0.390966404,5.864496056,-21.50315221,"1,0,0"
2.581705809,-1,-8,67,151,77,0,-0.387340803,25.56449297,5.422771236,-10.45820167,"0,1,0"
2.621676922,-3,-10,170,209,49,-0.762870506,-0.762870506,39.28783106,22.12324467,-10.68018708,"0,1,0"
2.645660877,-4,-11,212,228,56,-0.377977393,-0.377977393,15.87505049,7.181570459,2.645841748,"0,1,0"
2.661650419,-5,-12,267,245,59,-0.375706739,-0.375706739,20.66387066,6.387014567,1.127120218,"0,1,0"
2.709617615,-7,-14,336,280,1,-0.738111529,-0.738111529,25.46484774,12.91695175,-21.40523433,"0,1,0"
2.730885267,-7,-14,355,294,0,0,0,6.957450841,5.126542725,-0.366181623,"0,1,0"
2.746913671,-8,-15,390,305,1,-0.364044932,-0.364044932,12.74157261,4.004494249,0.364044932,"0,1,0"
2.786846876,-11,-16,475,333,0,-1.076485409,-0.35882847,30.50041993,10.04719715,-0.35882847,"0,1,0"
2.817675352,-12,-16,505,345,1,-0.354902491,0,10.64707472,4.258829887,0.354902491,"0,1,0"
2.833678484,-14,-16,523,357,1,-0.705796374,0,6.352167369,4.234778246,0,"0,1,0"
2.857662678,-15,-16,536,366,1,-0.349936334,0,4.549172336,3.149427002,0,"0,1,0"
2.881645679,-16,-16,557,376,2,-0.347023927,0,7.287502468,3.47023927,0.347023927,"0,1,0"
2.897634506,-18,-16,570,380,3,-0.690218175,0,4.486418136,1.38043635,0.345109087,"0,1,0"
2.941693306,-22,-16,592,349,2,-1.359761057,0,7.478685815,-10.53814819,-0.339940264,"0,1,0"
2.965681076,-24,-15,588,326,2,-0.674381347,0.337190674,-1.348762695,-7.755385495,0,"0,1,0"
2.989676476,-26,-14,569,283,1,-0.668968705,0.334484352,-6.355202697,-14.38282716,-0.334484352,"0,1,0"
3.005619049,-29,-10,544,150,1,-0.998130485,1.330840647,-8.317754044,-44.25045151,0,"0,1,0"
3.02960372,-32,-8,532,14,1,-0.990228518,0.660152345,-3.96091407,-44.89035946,0,"0,1,0"
3.045547009,-35,-6,397,2,5,-0.98504472,0.65669648,-44.3270124,-3.94017888,1.31339296,"0,1,0"
3.07662344,-38,-4,136,0,7,-0.975094957,0.650063305,-84.83326124,-0.650063305,0.650063305,"0,1,0"
3.092613459,-40,-2,2,0,6,-0.646702223,0.646702223,-43.32904897,0,-0.323351112,"0,0,1"
3.116597176,-42,0,0,0,4,-0.641725538,0.641725538,-0.641725538,0,-0.641725538,"0,0,1"
3.132587433,-44,1,0,0,6,-0.638449857,0.319224929,0,0,0.638449857,"0,0,1"
3.156567812,-43,3,0,0,7,0.316799784,0.633599567,0,0,0.316799784,"0,0,1"
3.180551052,-42,5,0,0,6,0.314410926,0.628821851,0,0,-0.314410926,"0,0,1"
3.196541071,-40,6,0,0,7,0.625676303,0.312838152,0,0,0.312838152,"0,0,1"
